Gene_A,Gene_B
MED19,ZNF76
MED19,POLR2I
MED19,CDK8
MED19,HLCS
MED19,POLR2H
MED19,POLR2J
MED19,POLR2F
MED19,YWHAG
MED19,POLR2G
MED19,POLR2L
MED19,GRB2
MED19,RIPPLY1
MED19,TARDBP
MED19,MED21
MED19,NEDD9
MED19,SETDB1
MED19,MED22
MED19,MED1
MED19,KANK2
MED19,DHRS7B
MED19,MED27
MED19,MED13L
MED19,MED25
MED19,FLJ10324
MED19,DTX2
MED19,LMO3
MED19,OSTF1
MED19,KAT5
MED19,MED12
MED19,MED8
MED19,MED30
MED19,RADIL
MED19,MED15
MED19,MED10
MED19,MED18
MED19,MED28
MED19,MED20
MED19,MED4
MED19,MED17
MED19,MED9
MED19,MED29
MED19,MED11
MED19,MED13
MED19,MED23
MED19,MED16
MED19,MED31
UHRF1BP1L,FXR1
UHRF1BP1L,ATXN1
KIAA1683,CYSRT1
KIAA1683,HEL-S-72
KIAA1683,CALM3
KIAA1683,CALML3
KIAA1683,CALR
KIAA1683,DLST
KIAA1683,NEK7
POTEB3,GAS8
POTEB3,CYP21A2
POTEB3,KRTAP5-9
POTEB3,PHF19
POTEB3,MACO1
POTEB3,KRTAP9-2
POTEB3,KRTAP4-11
POTEB3,KRTAP4-5
WDR57,SNRNP200
WDR57,ACP5
WDR57,DDR1
WDR57,EFTUD2
WDR57,PRPF8
HLA,B2M
SHTN1,SHTN1
SHTN1,BBOX1
SHTN1,FABP3
SHTN1,ESRRG
SHTN1,TFCP2
SHTN1,TP53BP2
SHTN1,TNIP1
SHTN1,IGL@
SHTN1,MEGF10
SHTN1,ZCCHC17
SHTN1,EXOC6B
SHTN1,NME7
BLR1,CCL3
DAPL1,LSM1
DAPL1,FHL2
DAPL1,ZIC1
DAPL1,FNDC3B
DAPL1,TSR2
CIB4,CREB5
CIB4,VASN
CIB4,ATG9A
CIB4,MYPOP
CIB4,ZBTB9
CIB4,TXN2
CIB4,TACO1
SHISA3,CLDN11
SHISA3,MAL
SHISA3,MEOX2
SHISA3,ANKRD46
SHISA3,PNMA1
SHISA3,CMTM7
SHISA3,TMEM147
TMEM82,APOA2
TMEM82,MS4A1
TMEM82,CYP4F2
FEZF1,CYSRT1
FEZF1,KRTAP10-8
FEZF1,KRTAP1-1
FEZF1,FHL5
FEZF1,KRT40
FEZF1,MDFI
TMEM120B,MGST3
TMEM120B,TMPRSS2
TMEM120B,FFAR2
TMEM120B,LRRTM2
TMEM120B,BNIP3L
TMEM120B,AQP8
TMEM120B,CCNDBP1
TMEM120B,CD74
TMEM120B,GJB1
TMEM120B,MUC1
TMEM120B,IL7R
TMEM120B,ALOX5AP
TMEM120B,COMT
TMEM120B,STOM
TMEM120B,FCER1G
TMEM120B,STX2
TMEM120B,IFNGR2
TMEM120B,SLC1A3
TMEM120B,KCNJ6
TMEM120B,SLC18A1
TMEM120B,GAD2
TMEM120B,AQP6
TMEM120B,SLC10A1
TMEM120B,EBP
TMEM120B,SLC10A6
TMEM120B,GORAB
TMEM120B,ANKS6
TMEM120B,NCAPH2
TMEM120B,APOA5
TMEM120B,RNF19B
TMEM120B,CPLX4
TMEM120B,RETREG3
TMEM120B,TMEM139
TMEM120B,JAGN1
TMEM120B,HSD17B11
TMEM120B,SLC17A8
TMEM120B,GPR152
TMEM120B,GPX8
TMEM120B,TMEM143
TMEM120B,CREB3L1
TMEM120B,TMEM80
TMEM120B,TLCD4
TMEM120B,ZDHHC15
TMEM120B,RNF5
TMEM120B,SH3GL3
TMEM120B,REEP2
TMEM120B,REEP4
TMEM120B,JPH1
TMEM120B,TMEM14B
TMEM120B,SCN3B
TMEM120B,GPRC5D
TMEM120B,ERGIC3
TMEM120B,TMX2
TMEM120B,MRPS18B
TMEM120B,FKBP7
TMEM72,MS4A1
TMEM72,GJA8
TMEM72,PIGY
TMEM72,FAM209A
TMEM72,TMEM237
TMEM72,SLC35A5
TMEM72,BCL2L13
TMEM72,FXYD6
TMEM72,CERS4
TMEM72,LENEP
CLRN2,CLDN5
CLRN2,NEMP1
CLRN2,KLRC1
CLRN2,STOM
CLRN2,LRRC25
CLRN2,TEX29
CLRN2,ARL6IP6
CLRN2,FNDC9
CLRN2,SSMEM1
CLRN2,VSIR
CLRN2,CLEC2D
CLRN2,SIT1
A0S0A6,A0S0A6
TSSK1,HSP90AB1
TSSK1,TGFBR1
TSSK1,TGFBR2
SLC66A1L,MEOX2
LNP1,GPRIN2
ARHGAP10,RHOA
ARHGAP10,SH3BP2
ARHGAP10,ANKS1A
IRGM,OPTN
KIAA0355,KLF11
KIAA0355,UQCRB
KIAA0355,BAG6
KIAA0355,DNM2
KIAA0355,NUP58
KRTAP23-1,BHLHE40
KRTAP23-1,HOXA1
KRTAP23-1,YPEL3
KRTAP23-1,C19ORF54
KRTAP23-1,TNS2
KRTAP23-1,RBPMS
KRTAP23-1,TEX37
KRTAP23-1,CAMK2A
ANO9,DLG1
ANO9,PLEKHF2
SLC22A23,UPK2
SLC22A23,CNIH1
SLC22A23,PSMA3
SLC22A23,KRTAP5-9
SLC22A23,CBLIF
SLC22A23,MEOX2
SLC22A23,PTTG1IP
SLC22A23,KRTAP10-8
SLC22A23,WFDC2
SLC22A23,CLCA4
SLC22A23,ADIPOQ
SLC22A23,OLFM4
SLC22A23,ERMP1
SLC22A23,NOTCH2NLA
SLC22A23,KRTAP1-3
SLC22A23,ADAM33
SLC22A23,CLN6
SNX26,CYSRT1
SNX26,RAC1
BICDL2,RPL9|RPL9P7|RPL9P8|RPL9P9
BICDL2,CDK17
BICDL2,PKP1
BICDL2,TSGA10IP
BICDL2,KLC3
BICDL2,API5
ODAM,SDCBP
ODAM,HGS
ODAM,VENTX
ODAM,SNRPC
ODAM,YPEL3
ODAM,ARID5A
ODAM,ADAM15
ODAM,MED25
ODAM,POGZ
ODAM,SPATA31A7
ODAM,TOLLIP
FAM168B,VPS37C
FAM168B,VGLL3
FAM168B,KLF11
FAM168B,RBFOX2
FAM168B,TLX3
FAM168B,FOXH1
FAM168B,CCNK
FAM168B,VENTX
FAM168B,BAG3
FAM168B,SNRPC
